id,city,line_o,station_o,line_d,station_d,line1,line2,line3,line4,line5,line6,transfer1,transfer2,transfer3,transfer4,transfer5,HH1,MM1,SS1,HH2,MM2,SS2,d_time,nroutes,choice,age
226,sz,LINE 2 (LINE 8),YANNAN,LINE 2 (LINE 8),HUAQIANG NORTH,LINE 2 (LINE 8),-3,-3,,,,,,,,,18,1,21,18,5,18,237,1,1,2
227,sz,LINE 9,SHENZHEN UNIVERSITY SOUTH,LINE 5,SHANGSHUIJING,LINE 9,LINE 5,-3,,,,QIANWAN,,,,,19,58,51,21,10,25,4294,2,2,2
228,sz,LINE 7,CHIWEI,LINE 2 (LINE 8),SEA WORLD,LINE 7,LINE 2 (LINE 8),-3,,,,ANTUO HILL,,,,,18,55,37,19,52,23,3406,2,2,2
229,sz,LINE 4,FUMIN,LINE 1,SHENZHEN UNIVERSITY,LINE 4,LINE 1,-3,,,,CONVENTION & EXHIBITION CENTER,,,,,22,38,45,23,11,41,1976,2,2,2
230,sz,LINE 6,MEILINGUAN,LINE 9,XIASHA,LINE 6,LINE 9,-3,,,,YINHU,,,,,8,19,32,8,58,53,2361,2,3,2
231,sz,LINE 5,BAO'AN CENTER,LINE 5,SHANGSHUIJING,LINE 5,-3,-3,,,,,,,,,21,9,48,21,53,37,2629,1,3,2
232,sz,LINE 5,SHANGSHUIJING,LINE 1,GUSHU,LINE 5,LINE 1,-3,,,,BAO'AN CENTER,,,,,13,17,29,14,15,44,3495,2,1,2
233,sz,LINE 5,SHANGSHUIJING,LINE 5,XINGDONG,LINE 5,-3,-3,,,,,,,,,13,21,39,13,58,49,2230,1,3,2
234,sz,LINE 5,SHANGSHUIJING,LINE 9,XIASHA,LINE 5,LINE 7,LINE 9,,,,TAI'AN,HONGLING NORTH,,,,7,27,56,8,27,11,3555,3,2,2
235,sz,LINE 7,CHEGONGMIAO,LINE 7,XILI LAKE,LINE 7,-3,-3,,,,,,,,,20,2,44,20,33,1,1817,1,3,2
236,sz,LINE 1,CONVENTION & EXHIBITION CENTER,LINE 1,CHEGONGMIAO,LINE 1,-3,-3,,,,,,,,,19,20,56,19,34,44,828,1,1,2
237,sz,LINE 5,WUHE,LINE 5,SHANGSHUIJING,LINE 5,-3,-3,,,,,,,,,8,38,58,8,49,10,612,1,3,3
238,sz,LINE 5,UNIVERSITY TOWN,LINE 4,CHILDREN'S PALACE,LINE 5,LINE 4,-3,,,,SHENZHEN NORTH STATION,,,,,7,59,53,8,37,8,2235,2,3,3
239,sz,LINE 5,SHANGSHUIJING,LINE 5,WUHE,LINE 5,-3,-3,,,,,,,,,18,26,42,18,38,46,724,1,3,3
240,sz,LINE 1,GUOMAO,LINE 1,TAOYUAN,LINE 1,-3,-3,,,,,,,,,19,7,12,19,47,41,2429,1,1,2
241,sz,LINE 1,GUSHU,LINE 1,TAOYUAN,LINE 1,-3,-3,,,,,,,,,20,52,21,21,19,22,1621,1,1,2
242,sz,LINE 1,GUOMAO,LINE 1,TAOYUAN,LINE 1,-3,-3,,,,,,,,,21,28,8,22,10,25,2537,1,1,2
243,sz,LINE 1,HUAQIANG ROAD,LINE 1,LAOJIE,LINE 1,-3,-3,,,,,,,,,16,50,27,17,0,49,622,1,1,2
244,sz,LINE 1,LAOJIE,LINE 1,TAOYUAN,LINE 1,-3,-3,,,,,,,,,18,59,51,19,39,58,2407,1,1,2
245,sz,LINE 2 (LINE 8),SHUIWAN,LINE 1,TAOYUAN,LINE 2 (LINE 8),LINE 1,-3,,,,WINDOW OF THE WORLD,,,,,21,49,49,22,27,9,2240,2,3,2
246,sz,LINE 1,TAOYUAN,LINE 1,GUOMAO,LINE 1,-3,-3,,,,,,,,,16,29,15,17,10,42,2487,1,1,2
247,sz,LINE 1,TAOYUAN,LINE 1,HUAQIANG ROAD,LINE 1,-3,-3,,,,,,,,,15,16,6,15,57,41,2495,1,1,2
248,sz,LINE 2 (LINE 8),SEA WORLD,LINE 1,HI-TECH PARK,LINE 2 (LINE 8),LINE 1,-3,,,,WINDOW OF THE WORLD,,,,,20,18,26,20,50,41,1935,2,1,2
249,sz,LINE 1,BAO'AN CENTER,LINE 1,HI-TECH PARK,LINE 1,-3,-3,,,,,,,,,18,56,13,19,16,28,1215,1,1,2
250,sz,LINE 1,PINGZHOU,LINE 1,HI-TECH PARK,LINE 1,-3,-3,,,,,,,,,14,38,29,15,1,46,1397,1,1,2
251,sz,LINE 2 (LINE 8),WINDOW OF THE WORLD,LINE 5,UNIVERSITY TOWN,LINE 2 (LINE 8),LINE 7,LINE 5,,,,ANTUO HILL,XILI,,,,18,46,39,19,20,35,2036,3,3,2
